Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,AI ML,Software Engineering,Business Analysis,Data Science,Role
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Poor,Poor,Poor,Intermediate,Poor,Poor,Poor,Poor,Poor,No Experience,Professional,Data Scientist
Excellent,,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Data Scientist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
No Experience,Poor,,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Professional,Data Scientist
Excellent,Excellent,Average,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Poor,Poor,Poor,Poor,Poor,No Experience,Poor,No Experience,Poor,Poor,Advanced,Data Scientist
Poor,Poor,Poor,Intermediate,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Data Scientist
Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Data Scientist
Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Data Scientist
Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Not Interested,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Professional,Data Scientist
Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Intermediate,Professional,Data Scientist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Poor,Poor,,No Experience,,Poor,Poor,Poor,Poor,Poor,Professional,Data Scientist
Beginner,Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,Entry-level,Beginner,Beginner,Professional,Data Scientist
Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Professional,Data Scientist
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,,Beginner,Professional,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,Average,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Data Scientist
Average,Poor,,Average,Average,Average,Average,Average,Average,Average,Advanced,Data Scientist
Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Professional,Data Scientist
Average,Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Professional,Data Scientist
,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Professional,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Professional,Data Scientist
Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Data Scientist
Average,Average,Average,Average,Not Interested,Intermediate,Intermediate,Average,Average,Average,Professional,Data Scientist
No Experience,Poor,Poor,Poor,Poor,No Experience,Intermediate,Poor,No Experience,Poor,Professional,Data Scientist
Average,Average,Average,Average,Poor,Average,Average,Intermediate,Average,Average,Professional,Data Scientist
,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Intermediate,Poor,Professional,Data Scientist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Excellent,Beginner,Beginner,Beginner,Professional,Data Scientist
Professional,Excellent,Average,Excellent,,,,Excellent,Excellent,Excellent,Excellent,Data Scientist
Not Interested,Not Interested,Average,No Experience,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Data Scientist
Average,Average,Average,Average,Intermediate,Average,Average,Average,Average,Average,Professional,Data Scientist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,Professional,Data Scientist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Poor,Intermediate,Intermediate,Intermediate,Professional,Data Scientist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Professional,Data Scientist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Not Interested,Intermediate,,Data Scientist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Intermediate,Professional,Data Scientist
Competent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Data Scientist
Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Data Scientist
Intermediate,Average,Average,Excellent,Average,Average,Intermediate,Average,Average,Average,Professional,Data Scientist
Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Poor,Professional,Data Scientist
Average,Not Interested,Average,Average,Intermediate,Average,Average,Intermediate,Average,Average,Professional,Data Scientist
Intermediate,Average,Not Interested,Intermediate,Intermediate,Average,Average,Average,Average,Average,Professional,Data Scientist
Average,Average,Average,Average,Beginner,Average,Average,,Average,Average,Professional,Data Scientist
Poor,Poor,Intermediate,,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Data Scientist
Beginner,,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Beginner,Entry-level,Professional,Data Scientist
Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Professional,Data Scientist
,Beginner,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Data Scientist
Excellent,,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Professional,Data Scientist
Intermediate,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Poor,Poor,Poor,Poor,Poor,Not Interested,Poor,,Poor,Poor,Professional,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Professional,Data Scientist
Average,Average,Average,Average,Average,Intermediate,Average,Average,Average,,Professional,Data Scientist
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Entry-level,Beginner,Professional,Data Scientist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Competent,Intermediate,Intermediate,Professional,Data Scientist
Entry-level,Beginner,Beginner,Poor,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Data Scientist
Beginner,Beginner,Novice,Entry-level,Beginner,Beginner,Beginner,Beginner,Novice,Beginner,Professional,Data Scientist
Intermediate,Average,Average,Average,Intermediate,Average,Average,Average,Average,Average,Professional,Data Scientist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Data Scientist
Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Expert,Data Scientist
Average,Average,Average,Average,Average,Average,Average,Excellent,Average,Average,Professional,Data Scientist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Data Scientist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Excellent,Professional,Data Scientist
Intermediate,Average,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,Competent,Professional,Data Scientist
Beginner,Beginner,Beginner,Beginner,Excellent,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Data Scientist
Poor,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Data Scientist
Average,Average,Poor,Average,Average,Average,Average,Average,Average,Average,Professional,Data Scientist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Not Interested,Excellent,Excellent,Professional,Data Scientist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Professional,Data Scientist
Average,Average,Average,Intermediate,Average,Average,Average,Average,Average,Average,Expert,Data Scientist
,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Entry-level,Professional,Data Scientist
Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Advanced,Data Scientist
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,,Poor,Professional,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Data Scientist
Average,Average,Average,Average,Average,Average,Beginner,Average,Average,Average,Average,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Data Scientist
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Beginner,Professional,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Average,,Not Interested,Not Interested,,,Data Scientist
Poor,,No Experience,Poor,No Experience,Poor,Poor,Poor,Poor,Excellent,Professional,Data Scientist
Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Advanced,Data Scientist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Advanced,Data Scientist
Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Excellent,Intermediate,Intermediate,Intermediate,Professional,Data Scientist
Poor,No Experience,Intermediate,Poor,Poor,,Poor,Poor,Poor,Poor,Professional,Data Scientist
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Beginner,Poor,Poor,Professional,Data Scientist
Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Professional,Data Scientist
Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Data Scientist
Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Professional,Data Scientist
Average,Average,Average,Average,Average,Intermediate,Average,Average,Average,Average,Professional,Data Scientist
Poor,Poor,Poor,Poor,Beginner,Poor,Poor,No Experience,Poor,Poor,Professional,Data Scientist
,Poor,Poor,Poor,Poor,Poor,Poor,Poor,No Experience,Not Interested,Professional,Data Scientist
Average,Average,Average,Average,Average,,Not Interested,,Average,Intermediate,Professional,Data Scientist
Average,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Intermediate,Data Scientist
Poor,Poor,Poor,Beginner,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Data Scientist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Average,Average,,Intermediate,,Average,Average,Average,Intermediate,Intermediate,Professional,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,Poor,Professional,Data Scientist
,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Data Scientist
Average,Average,Intermediate,Average,Average,Average,Average,,Average,Average,Advanced,Data Scientist
Excellent,Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Poor,Poor,Poor,Not Interested,No Experience,Poor,Poor,Poor,Poor,Poor,Professional,Data Scientist
Intermediate,Intermediate,Intermediate,Intermediate,Not Interested,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Data Scientist
Average,Intermediate,Average,Average,Average,Average,Average,Average,Average,Average,Advanced,Data Scientist
Average,Average,,Average,Average,Average,Average,Average,Average,Average,Advanced,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Professional,Data Scientist
,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Data Scientist
Average,,Average,Average,Intermediate,Average,Average,Beginner,Average,Average,Advanced,Data Scientist
,Intermediate,Intermediate,Intermediate,,Intermediate,,Intermediate,Intermediate,Average,Professional,Data Scientist
No Experience,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Beginner,Professional,Data Scientist
