Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Data Science,Troubleshooting skills,Role
Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Beginner,Intermediate,Average,Average,Hardware Engineer
,Poor,Poor,Poor,Poor,Intermediate,Poor,No Experience,Poor,Poor,Professional,Poor,No Experience,Poor,Poor,AI ML Specialist
Excellent,Excellent,Not Interested,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Technical Writer
Novice,Beginner,Beginner,Beginner,Novice,Intermediate,Beginner,Beginner,Beginner,Entry-level,Professional,Beginner,Beginner,Entry-level,Beginner,AI ML Specialist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,,Competent,,Business Analyst
Intermediate,Average,Not Interested,Average,Average,Average,Average,Intermediate,Average,Average,Average,Average,Average,Average,Average,Graphics Designer
Poor,Poor,No Experience,Poor,,Poor,Poor,Poor,,Poor,Poor,Not Interested,Poor,,Professional,Helpdesk Engineer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Customer Service Executive
No Experience,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,No Experience,Business Analyst
Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Intermediate,Professional,Poor,Poor,Poor,Poor,AI ML Specialist
Intermediate,Competent,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Poor,Professional,Intermediate,,Intermediate,Software tester
Excellent,Excellent,Excellent,Excellent,Novice,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Graphics Designer
,Intermediate,Intermediate,Intermediate,Beginner,Average,Competent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Business Analyst
Not Interested,Not Interested,Not Interested,None,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Software Developer
Poor,Poor,Poor,No Experience,Not Interested,,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Helpdesk Engineer
Entry-level,,Beginner,Excellent,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Beginner,Novice,Beginner,Beginner,Beginner,Customer Service Executive
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Expert,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Information Security Specialist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Advanced,Excellent,Excellent,Business Analyst
Intermediate,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Professional,No Experience,Poor,No Experience,Poor,Poor,Technical Writer
Average,,Average,Average,Average,Average,,Average,,Excellent,Average,Average,Professional,Average,Average,Business Analyst
Average,Average,Average,Average,Average,Professional,Average,Average,Intermediate,Average,Average,Average,Novice,Intermediate,Average,Software Developer
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,,Technical Writer
Beginner,Entry-level,Beginner,Entry-level,Professional,Beginner,Beginner,Average,Beginner,Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Networking Engineer
Average,,Average,Average,Intermediate,Average,Intermediate,Average,Average,Professional,Average,,Average,Average,Not Interested,Technical Writer
Poor,Poor,Poor,,Poor,No Experience,Poor,Intermediate,Poor,Poor,Professional,Poor,Poor,Poor,Poor,AI ML Specialist
Competent,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Cyber Security Specialist
,No Experience,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Intermediate,Average,Intermediate,Technical Writer
Average,Average,Intermediate,Average,Average,Average,Poor,Average,Average,Average,Average,Average,Average,,Average,Graphics Designer
Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,,Intermediate,Poor,Intermediate,,Intermediate,Professional,Intermediate,Average,Business Analyst
Not Interested,N/A,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,API Specialist
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Excellent,,Graphics Designer
Professional,Poor,Poor,Poor,Poor,,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Software Developer
,Professional,Beginner,Beginner,Entry-level,Beginner,Novice,Beginner,Beginner,Entry-level,Beginner,Beginner,Intermediate,Beginner,Beginner,Hardware Engineer
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,N/A,No Experience,Average,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,None,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Software tester
Beginner,Beginner,Beginner,,Beginner,,Beginner,Beginner,Beginner,Beginner,Entry-level,Beginner,Professional,Beginner,Beginner,Business Analyst
Beginner,Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,Excellent,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,AI ML Specialist
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Excellent,Poor,Professional,Poor,Poor,Poor,Software tester
Intermediate,Intermediate,Intermediate,Professional,Average,Intermediate,,Intermediate,Intermediate,Intermediate,Average,Intermediate,Poor,Intermediate,Intermediate,Cyber Security Specialist
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Average,Software Developer
Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Average,Not Interested,Not Interested,N/A,Not Interested,Not Interested,Not Interested,,Not Interested,Database Administrator
Beginner,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Information Security Specialist
Average,Average,Average,Average,Average,,Intermediate,Intermediate,Professional,Intermediate,Poor,Average,Average,Average,Average,Information Security Specialist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Information Security Specialist
No Experience,,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,N/A,Not Interested,Average,N/A,Database Administrator
Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Hardware Engineer
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Professional,Excellent,,,Software tester
Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,,Not Interested,Beginner,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Software tester
Professional,Intermediate,Intermediate,Average,Intermediate,Intermediate,Excellent,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Database Administrator
Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Beginner,Beginner,Beginner,Networking Engineer
Excellent,Expert,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Average,Excellent,Excellent,Excellent,Hardware Engineer
Beginner,Beginner,Beginner,Average,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Beginner,Novice,Beginner,Customer Service Executive
Intermediate,Average,Average,Average,Average,Average,Average,Average,Average,,Average,Average,Average,Average,Average,Graphics Designer
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Business Analyst
Poor,No Experience,No Experience,Poor,Professional,Poor,No Experience,Poor,Poor,N/A,Poor,Poor,Poor,Poor,Poor,Networking Engineer
Beginner,Entry-level,Novice,Beginner,Entry-level,Beginner,Beginner,Beginner,Entry-level,Beginner,Beginner,Not Interested,Beginner,Beginner,Entry-level,Customer Service Executive
Average,Intermediate,Intermediate,Intermediate,Intermediate,Expert,Intermediate,Intermediate,Intermediate,Excellent,Average,Intermediate,Intermediate,Intermediate,Intermediate,Software Developer
Beginner,Beginner,Beginner,Professional,,Beginner,Beginner,Average,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Intermediate,Graphics Designer
Beginner,Beginner,Beginner,Poor,Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,AI ML Specialist
Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,,Poor,Poor,Poor,Technical Writer
Average,Average,Average,Professional,Average,Average,Average,,Average,Average,Average,Average,,Average,Average,Cyber Security Specialist
Poor,Poor,Poor,Poor,Poor,Poor,Poor,No Experience,,Professional,Poor,Intermediate,Poor,No Experience,Poor,Technical Writer
,Beginner,,Beginner,Novice,,Professional,Beginner,Poor,Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,API Specialist
Average,Average,Average,Average,,Average,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Graphics Designer
Average,Average,Average,Average,Intermediate,Average,Average,Average,Intermediate,Average,Average,Professional,Average,Average,Average,Software tester
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Average,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Technical Writer
,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Database Administrator
Excellent,Excellent,Excellent,Excellent,Excellent,No Experience,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Information Security Specialist
Average,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Hardware Engineer
Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,,API Specialist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Helpdesk Engineer
Professional,Average,Average,Average,Average,Average,Average,Average,Beginner,Average,Average,Average,Average,Average,Average,Database Administrator
Excellent,Average,Average,Average,Professional,Intermediate,Intermediate,Average,Average,Average,Average,Average,Average,Average,Average,Networking Engineer
No Experience,Poor,No Experience,Poor,Poor,Poor,Average,Poor,Poor,Poor,Poor,Poor,Poor,Expert,Poor,Data Scientist
Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,AI ML Specialist
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Novice,Beginner,,Beginner,Beginner,Beginner,,Beginner,API Specialist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,AI ML Specialist
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,N/A,No Experience,No Experience,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Not Interested,Excellent,Excellent,Excellent,,Excellent,Professional,Excellent,Data Scientist
No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,,No Experience,Professional,Poor,No Experience,Poor,Software tester
No Experience,Not Interested,Not Interested,Not Interested,Average,Not Interested,None,Not Interested,Not Interested,No Experience,Professional,Not Interested,Not Interested,Not Interested,Not Interested,AI ML Specialist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,N/A,Not Interested,Not Interested,Average,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Business Analyst
Excellent,Excellent,Excellent,,Excellent,Excellent,Professional,Excellent,,No Experience,,Excellent,Excellent,Excellent,Excellent,API Specialist
Beginner,,Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Business Analyst
Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,,,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Software tester
Excellent,Excellent,Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Expert,Excellent,Excellent,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,N/A,Not Interested,Professional,Not Interested,Not Interested,,Not Interested,Poor,No Experience,Information Security Specialist
Intermediate,Beginner,Beginner,Beginner,,,Professional,Beginner,Beginner,Beginner,Beginner,Entry-level,Novice,Beginner,Beginner,API Specialist
